model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,restore_mode,n_coords,removed_energy_A_mean,restored_energy_A_mean
llama-3.1-8b-instruct,dev,massive,unedited,60,60,115,0.13581695556640624,0.10247815450032552,0.17577796936035153,0.0,0.0,0.0,0.3217391304347826,0.20869565217391303,0.43859649122807015,-0.0,-0.0,-0.0,115,0.37121512286120456,-0.0,-0.0,-0.0,,,0.0,0.6188667972882589,none,0,,
llama-3.1-8b-instruct,dev,massive,erased,60,60,115,0.12684224446614584,0.09755968729654949,0.1610989634195963,-0.008974711100260416,-0.039691810607910154,0.02508937835693355,0.46956521739130436,0.35331742610837436,0.5877192982456141,-0.14782608695652175,-0.22413793103448276,-0.07894736842105263,115,0.47513403649775765,-0.10391891363655309,-0.14696448877745183,-0.06367383772259093,0.008510528629498101,0.006100380745884298,1.0,0.8203684250513713,none,0,,
llama-3.1-8b-instruct,dev,massive,restore_massive,60,60,115,0.11200968424479167,0.08634628295898437,0.13997456868489583,-0.023807271321614584,-0.055097071329752605,0.006173820495605468,0.48695652173913045,0.3706896551724138,0.6034936479128854,-0.16521739130434782,-0.2413793103448276,-0.09565217391304348,115,0.4767033619654936,-0.10548823910428902,-0.14901300675213355,-0.06515289114672577,0.008635163952677244,0.0059159298508422884,1.0,1.0884485840797424,massive,5,0.00884246290292554,0.00020940721064019685
llama-3.1-8b-instruct,dev,massive,erase_massive_only,60,60,115,0.12116495768229167,0.09120890299479167,0.15625961303710936,-0.014651997884114584,-0.03544745127360026,0.005474166870117177,0.3565217391304348,0.23893805309734514,0.4824637023593466,-0.034782608695652174,-0.08697559115179242,0.008695652173913044,115,0.3855792284871486,-0.01436410562594407,-0.025035263394973365,-0.005097868697106386,0.00418517825170004,0.006515431704382113,1.0,1.0948676586151123,complement,5,0.05807376005418406,0.05389355264784265
llama-3.1-8b-instruct,dev,massive,restore_all,60,60,115,0.142999267578125,0.1058246866861979,0.18849527994791662,0.00718231201171875,-0.012536023457845052,0.0263055928548177,0.33043478260869563,0.21739130434782608,0.45689655172413796,-0.008695652173913044,-0.04310344827586207,0.017543859649122806,115,0.3704176620049193,0.000797460856285221,-0.0018561961873548236,0.0033066802878545147,1.6887363872596728e-06,1.5201475191549255e-06,1.0,1.0828129808108011,all,4096,0.10212681268825184,0.10212681268825184
llama-3.1-8b-instruct,dev,massive,restore_random_1,60,60,115,0.10865529378255208,0.08553487141927084,0.13523507436116536,-0.027161661783854166,-0.060444882710774736,0.0051910146077473905,0.46956521739130436,0.35331742610837436,0.5877192982456141,-0.14782608695652175,-0.22413793103448276,-0.07894736842105263,115,0.47397750579289627,-0.10276238293169171,-0.14680044962012573,-0.06236382236950749,0.008469539843964088,0.00610804557013791,1.0,1.0935736536979674,random,5,0.008479158028161302,1.2585076970846162e-05
llama-3.1-8b-instruct,dev,massive,restore_equal_energy_1,60,60,115,0.1016754150390625,0.07554987589518229,0.13012001037597656,-0.03414154052734375,-0.07298046112060547,0.001196174621582018,0.4782608695652174,0.3620689655172414,0.5948275862068966,-0.1565217391304348,-0.22807017543859648,-0.08695652173913043,115,0.47555810482049676,-0.10434298195929219,-0.14703504511580076,-0.06443474926471791,0.00868064119826331,0.006463124019722168,1.0,1.1730027119318645,equal_energy,5,0.008537900030169401,0.0002045673047695381
llama-3.1-8b-instruct,dev,massive,restore_random_2,60,60,115,0.10328877766927083,0.07725453694661458,0.13166506449381507,-0.03252817789713542,-0.06611302693684896,-5.419413248703038e-05,0.46956521739130436,0.35331742610837436,0.5877192982456141,-0.14782608695652175,-0.22413793103448276,-0.07894736842105263,115,0.4742296897073035,-0.10301456684609897,-0.1459923742371503,-0.06376564538616356,0.00847178514588081,0.006098333886778142,1.0,1.0957592686017354,random,5,0.008487657613648855,1.8810129360090193e-05
llama-3.1-8b-instruct,dev,massive,restore_equal_energy_2,60,60,115,0.11554896036783854,0.08916749954223632,0.1448044013977051,-0.020267995198567708,-0.054604206085205075,0.011253636678059885,0.46956521739130436,0.35331742610837436,0.5877192982456141,-0.14782608695652175,-0.22413793103448276,-0.07894736842105263,115,0.47416771602312746,-0.10295259316192301,-0.14553272616015936,-0.0628049721415959,0.008548164335170774,0.00646719758701401,1.0,1.1699400901794434,equal_energy,5,0.008412366157227878,0.0002052510258623209
llama-3.1-8b-instruct,dev,massive,restore_random_3,60,60,115,0.09924647013346354,0.07655715942382812,0.1229312006632487,-0.03657048543294271,-0.0693484369913737,-0.005736611684163422,0.4782608695652174,0.35964912280701755,0.6,-0.1565217391304348,-0.23275862068965517,-0.08770022883295193,115,0.4752400430166936,-0.1040249201554891,-0.14695939331510216,-0.06429905827942756,0.008467541413058974,0.006098558413525561,1.0,1.0933615167935689,random,5,0.008506352919884247,4.181666023852387e-05
llama-3.1-8b-instruct,dev,massive,restore_equal_energy_3,60,60,115,0.1041351318359375,0.07641749064127604,0.13733762105305986,-0.03168182373046875,-0.06309028625488282,-0.00024670918782552625,0.46956521739130436,0.35338399879007865,0.5862447065940711,-0.14782608695652175,-0.22323737684729053,-0.0782608695652174,115,0.47560209045451873,-0.10438696759331417,-0.14726740597357232,-0.06414886670861626,0.008673817854270583,0.006470215833379978,1.0,1.1732641339302063,equal_energy,5,0.008564682738574282,0.0002060241073096116
