model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
gemma-2-2b-it,dev,depth,unedited,60,60,116,0.6817138671875,0.5207668050130209,0.8742106119791664,0.0,0.0,0.0,0.4482758620689655,0.3332627118644067,0.5690576186265837,-0.0,-0.0,-0.0,116,0.4429590205324359,-0.0,-0.0,-0.0,,,0.0,0.1801764766375223,,,,,,,,,0,,none
gemma-2-2b-it,dev,depth,full_frozen,60,60,116,0.49404296875,0.3717431640625,0.6374959309895831,-0.1876708984375,-0.3073244222005208,-0.0761098225911458,0.5948275862068966,0.4871794871794871,0.7094017094017094,-0.146551724137931,-0.2327586206896551,-0.0689507810197465,116,0.5652887295684055,-0.1223297090359694,-0.1833231113169123,-0.0677347647555934,0.0143977644157209,0.0153714921089938,1.0,0.7561466813087463,0.5,0.0,16.0,0.3,10.0,0.1333333333333333,8.0,0.2666666666666666,26,1.0,frozen
gemma-2-2b-it,dev,depth,early_frozen,60,60,116,0.5146565755208333,0.3862788899739584,0.6702423095703124,-0.1670572916666666,-0.280977783203125,-0.0507476806640625,0.4482758620689655,0.3389830508474576,0.5702372919478179,-0.0,-0.0598290598290598,0.0521739130434782,116,0.4493280807164347,-0.0063690601839988,-0.04770084317485,0.0305386439970286,0.0323643416497212,0.0274434615439282,1.0,0.2655243873596191,0.5,0.0,16.0,0.4,9.0,0.2666666666666666,,,9,1.0,frozen
gemma-2-2b-it,dev,depth,middle_frozen,60,60,116,0.6083414713541667,0.4525553385416666,0.7927673339843749,-0.0733723958333333,-0.1746683756510416,0.0230470784505207,0.4913793103448275,0.3728513574321284,0.6121181185722925,-0.043103448275862,-0.0973451327433628,0.0085470085470085,116,0.4964044576898238,-0.0534454371573877,-0.0902040550302307,-0.0211239831933536,0.0301986689944347,0.0342077342117285,1.0,0.265289564927419,9.0,0.0,17.0,0.5833333333333334,13.0,0.3166666666666666,,,9,1.0,frozen
gemma-2-2b-it,dev,depth,late_frozen,60,60,116,0.6964213053385416,0.5298077392578124,0.8883009847005208,0.0147074381510416,-0.0184635416666666,0.0456091308593749,0.4568965517241379,0.3389830508474576,0.5790035987404406,-0.0086206896551724,-0.0263157894736842,-0.0,116,0.4653484294065623,-0.0223894088741263,-0.0353139358500655,-0.0109669434811597,0.0236415163928233,0.032733104348372,1.0,0.2618179678916931,18.0,0.0,,1.0,25.0,0.9833333333333332,,,8,1.0,frozen
gemma-2-2b-it,dev,depth,full_sequential,60,60,116,0.5374348958333334,0.4214005533854166,0.68099365234375,-0.1442789713541666,-0.2688834635416666,-0.035081787109375,0.4741379310344827,0.3565217391304348,0.5948275862068966,-0.0258620689655172,-0.0956521739130434,0.0446428571428571,116,0.4773928654503228,-0.034433844917887,-0.085925370531509,0.0187364433045565,0.0737049877381066,0.0394855027013025,1.0,0.675860321521759,2.0,0.0,16.0,0.3666666666666666,10.0,0.15,8.0,0.3166666666666666,26,1.0,sequential
gemma-2-2b-it,test,depth,unedited,160,160,316,0.685687255859375,0.5927284240722656,0.7865368652343749,0.0,0.0,0.0,0.4430379746835443,0.3690727877537814,0.5125786163522013,-0.0,-0.0,-0.0,316,0.4591092364603895,-0.0,-0.0,-0.0,,,0.0,0.1825724750757217,,,,,,,,,0,,none
gemma-2-2b-it,test,depth,full_frozen,160,160,316,0.5715087890625,0.4940394592285156,0.6573300170898437,-0.114178466796875,-0.186120376586914,-0.0436518859863282,0.5759493670886076,0.5062511230907457,0.6435331230283912,-0.1329113924050632,-0.1855345911949685,-0.0825331525015069,316,0.5630429466713939,-0.1039337102110043,-0.144930022010706,-0.0629880814652855,0.0135586932994374,0.0151089424200869,1.0,0.7533183485269547,0.0,0.0,15.0,0.38125,10.0,0.19375,8.0,0.25625,26,1.0,frozen
gemma-2-2b-it,test,depth,early_frozen,160,160,316,0.57615966796875,0.4969996643066406,0.6668548583984375,-0.109527587890625,-0.1759111022949218,-0.0424087524414062,0.4873417721518987,0.4153294351678823,0.5569620253164557,-0.0443037974683544,-0.0820189274447949,-0.0094936708860759,316,0.4788662201896845,-0.0197569837292949,-0.0436208403147785,0.005210754829758,0.0321250113813954,0.026355679598115,1.0,0.2656347468495369,0.0,0.0,16.0,0.41875,9.0,0.275,,,9,1.0,frozen
gemma-2-2b-it,test,depth,middle_frozen,160,160,316,0.6116634368896484,0.5274286651611328,0.7034406471252441,-0.0740238189697265,-0.1408679008483886,-0.0091630363464355,0.5031645569620253,0.4321658905412848,0.5691823899371069,-0.060126582278481,-0.0949367088607595,-0.0283018867924528,316,0.5126359546470971,-0.0535267181867075,-0.0781522977667756,-0.0308534866680907,0.0308531205739207,0.0336313292940619,1.0,0.2661188423633575,9.0,0.0,16.0,0.66875,14.0,0.2875,,,9,1.0,frozen
