model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,restore_mode,n_coords,removed_energy_A_mean,restored_energy_A_mean
phi-4-mini-instruct,dev,massive,unedited,60,60,117,0.4166666666666667,0.328125,0.512552083333333,0.0,0.0,0.0,0.5897435897435898,0.4745762711864407,0.7008547008547008,-0.0,-0.0,-0.0,117,0.5601737971890731,-0.0,-0.0,-0.0,,,0.0,0.37594281832377113,none,0,,
phi-4-mini-instruct,dev,massive,erased,60,60,117,0.271875,0.21666666666666667,0.32708333333333334,-0.14479166666666668,-0.22815104166666667,-0.06559895833333348,0.7094017094017094,0.5948275862068966,0.8205128205128205,-0.11965811965811966,-0.211864406779661,-0.02564102564102564,117,0.67703030690528,-0.11685650971620688,-0.17119949329767328,-0.06725263324674934,0.040543146898071244,0.02200868555680542,1.0,0.5206294178962707,none,0,,
phi-4-mini-instruct,dev,massive,restore_massive,60,60,117,0.26875,0.20830729166666667,0.33229166666666665,-0.14791666666666667,-0.233359375,-0.06664062500000015,0.7094017094017094,0.5948275862068966,0.8151645658263303,-0.11965811965811966,-0.20869565217391303,-0.03389830508474576,117,0.68278473596211,-0.12261093877303679,-0.17906229404456075,-0.07200993308183265,0.03647414547249351,0.014254487068034201,1.0,0.7310527483622233,massive,5,0.037850084507766876,0.0013782849268649346
phi-4-mini-instruct,dev,massive,erase_massive_only,60,60,117,0.28958333333333336,0.225,0.3572916666666667,-0.12708333333333333,-0.18752604166666667,-0.06354166666666666,0.7094017094017094,0.5964912280701754,0.8103448275862069,-0.11965811965811966,-0.2034332898739676,-0.0423728813559322,117,0.6561598551180046,-0.09598605792893145,-0.1423184612565247,-0.0529735615556041,0.0028849290914057576,0.013138852994918347,1.0,0.7400573094685873,complement,5,0.07581965207511839,0.07293572557528519
phi-4-mini-instruct,dev,massive,restore_all,60,60,117,0.40208333333333335,0.31979166666666664,0.48854166666666665,-0.014583333333333334,-0.05520833333333333,0.029166666666666667,0.5982905982905983,0.4915254237288136,0.7033898305084746,-0.008547008547008548,-0.044257664348925356,0.02586206896551724,117,0.5599530552285605,0.00022074196051247099,-0.005982946597591611,0.006683066093535879,1.3097525780719642e-06,1.3929982633709367e-06,1.0,0.7430784662564596,all,3072,0.12221254030996062,0.12221254030996062
phi-4-mini-instruct,dev,massive,restore_random_1,60,60,117,0.265625,0.21455729166666665,0.32395833333333335,-0.15104166666666666,-0.2375,-0.06666666666666667,0.717948717948718,0.603448275862069,0.8220712861415751,-0.1282051282051282,-0.21741870661307985,-0.03538283955367449,117,0.6798590915079206,-0.11968529431884749,-0.17463878104706462,-0.07052186444382723,0.04042029973772557,0.022002915080064907,1.0,0.7486928741137187,random,5,0.04045348692084944,3.688970070623954e-05
phi-4-mini-instruct,dev,massive,restore_equal_energy_1,60,60,117,0.19895833333333332,0.15104166666666666,0.2520833333333333,-0.21770833333333334,-0.295859375,-0.1426822916666668,0.7008547008547008,0.5862068965517241,0.8103448275862069,-0.1111111111111111,-0.19827586206896552,-0.017691419776837244,117,0.6770457052951504,-0.11687190810607763,-0.173241288035962,-0.06656741480468843,0.04340441524295427,0.030745810992154947,1.0,0.8144949237505595,equal_energy,5,0.042483565847643096,0.0013227005383440855
phi-4-mini-instruct,dev,massive,restore_random_2,60,60,117,0.27395833333333336,0.22083333333333333,0.3333333333333333,-0.14270833333333333,-0.22291666666666668,-0.06458333333333334,0.717948717948718,0.6052631578947368,0.8235552115583074,-0.1282051282051282,-0.2184873949579832,-0.0423728813559322,117,0.6829893035369279,-0.12281550634785489,-0.1785640124245208,-0.07342800783787747,0.04038247385967185,0.021957124420642057,1.0,0.7477774977684021,random,5,0.040457859260779785,7.681706255907945e-05
phi-4-mini-instruct,dev,massive,restore_equal_energy_2,60,60,117,0.24791666666666667,0.19270833333333334,0.30833333333333335,-0.16875,-0.25729166666666664,-0.084375,0.7008547008547008,0.5912653288740246,0.8067629551820726,-0.1111111111111111,-0.19658119658119658,-0.02586206896551724,117,0.678676042490125,-0.11850224530105193,-0.17424361988030132,-0.06926190161635185,0.04181244839138413,0.029639952566738934,1.0,0.8124080896377563,equal_energy,5,0.04107282015174207,0.0012913169403507264
phi-4-mini-instruct,dev,massive,restore_random_3,60,60,117,0.2677083333333333,0.21354166666666666,0.3260416666666667,-0.14895833333333333,-0.22291666666666668,-0.07708333333333334,0.7094017094017094,0.6016949152542372,0.8135593220338984,-0.11965811965811966,-0.20512820512820512,-0.03447539050987327,117,0.6805539051032623,-0.12038010791418913,-0.1754694229185723,-0.0701216582769963,0.040271116793649635,0.02198068615271815,1.0,0.7482769052187602,random,5,0.04032137023442867,5.2024525436859816e-05
