model_name,phase,cond_id,condition,rank,alpha,pair_type,stratum,label,n_seeds,n_items,n_audit,absC_pre_mean,absC_post_mean,W,L,U,D,D_lo,D_hi,R,R_lo,R_hi,X_den,X_num,X_reverse_num,X_reverse_den,X,X_lo,X_hi,energy_audit_mean,energy_gen_mean,opt_acc,opt_acc_pre,d_opt_acc,d_opt_acc_lo,d_opt_acc_hi,gen_acc_attempted,gen_acc_attempted_pre,d_gen_acc_attempted,d_gen_acc_attempted_lo,d_gen_acc_attempted_hi,validity,validity_pre,d_validity,d_validity_lo,d_validity_hi,gen_acc_usable,gen_acc_usable_n,gen_acc_usable_pre,flip_attempted_num,flip_attempted_den,flip_attempted,flip_usable_den,flip_usable
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,demographic,pooled,exploratory,100,100,100,0.629144287109375,0.5823942565917969,0.52,0.46,0.02,0.046750030517578124,-0.019159313201904293,0.11804068756103513,0.07430732738967205,-0.033519132864301436,0.17481769760909693,27,5,4,73,0.18518518518518517,0.047619047619047616,0.3333333333333333,0.0017243737270487014,0.0016485671088859412,0.58,0.6,-0.02,-0.065,0.02,0.46,0.45,0.01,-0.025,0.05,0.79,0.795,-0.005,-0.06,0.05,0.5786516853932584,89,0.5585106382978723,14,100,0.14,69,0.2028985507246377
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,demographic,bbq,exploratory,42,42,42,0.3539922805059524,0.39057849702380953,0.40476190476190477,0.5714285714285714,0.023809523809523808,-0.036586216517857144,-0.09097435360863095,0.012278820219494037,-0.10335314788663008,-0.31469248795681337,0.0314985773783457,5,0,1,37,0.0,0.0,0.0,0.0014194845987909191,0.001239302600455856,0.7142857142857143,0.7023809523809523,0.011904761904761904,0.0,0.03571428571428571,0.7261904761904762,0.7023809523809523,0.023809523809523808,0.0,0.05952380952380952,0.9642857142857143,0.9642857142857143,0.0,-0.03571428571428571,0.03571428571428571,0.7926829268292683,41,0.75,8,42,0.19047619047619047,40,0.2
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,demographic,crows_pairs,exploratory,30,30,30,0.9754720052083333,0.8871719360351562,0.6,0.36666666666666664,0.03333333333333333,0.08830006917317708,-0.013990414937337239,0.2032110722859699,0.09052035189294716,-0.014704197617350217,0.20196938285205876,12,1,0,18,0.08333333333333333,0.0,0.2727272727272727,0.0019303217898776356,0.0018907631625185689,0.6333333333333333,0.6666666666666666,-0.03333333333333333,-0.13333333333333333,0.05,0.26666666666666666,0.31666666666666665,-0.05,-0.13333333333333333,0.03333333333333333,0.6166666666666667,0.7166666666666667,-0.1,-0.23333333333333334,0.03333333333333333,0.45652173913043476,23,0.4642857142857143,5,30,0.16666666666666666,14,0.35714285714285715
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,demographic,stereoset,exploratory,28,28,28,0.670806884765625,0.5435703822544643,0.6071428571428571,0.39285714285714285,0.0,0.12723650251116073,-0.06312506539481026,0.34559075491768965,0.18967679879376342,-0.12090605324036258,0.4201895788465535,10,4,3,18,0.4,0.1111111111111111,0.7142857142857143,0.001961048780690087,0.0020029680997818234,0.32142857142857145,0.375,-0.05357142857142857,-0.16071428571428573,0.03571428571428571,0.26785714285714285,0.21428571428571427,0.05357142857142857,-0.017857142857142856,0.125,0.7142857142857143,0.625,0.08928571428571429,-0.03571428571428571,0.19642857142857142,0.34,25,0.3333333333333333,1,28,0.03571428571428571,15,0.06666666666666667
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,identity,pooled,exploratory,100,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,100,,,,0.0016916626412075656,0.001693236750468078,0.5876288659793815,0.6082474226804123,-0.020618556701030927,-0.08247422680412371,0.041237113402061855,0.47,0.44,0.03,-0.03,0.09,0.76,0.78,-0.02,-0.1,0.05,0.6438356164383562,73,0.5866666666666667,0,100,0.0,76,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,identity,bbq,exploratory,42,42,42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,42,,,,0.0014179910561221822,0.0014195428835504025,0.6923076923076923,0.6923076923076923,0.0,0.0,0.0,0.7380952380952381,0.7142857142857143,0.023809523809523808,-0.047619047619047616,0.11904761904761904,0.9761904761904762,1.0,-0.023809523809523808,-0.07142857142857142,0.0,0.8157894736842105,38,0.7692307692307693,0,42,0.0,41,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,identity,crows_pairs,exploratory,30,30,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,30,,,,0.0018557074933052355,0.0018575452517987645,0.6333333333333333,0.7,-0.06666666666666667,-0.2,0.06666666666666667,0.26666666666666666,0.3,-0.03333333333333333,-0.16666666666666666,0.1,0.6,0.6666666666666666,-0.06666666666666667,-0.23333333333333334,0.1,0.4444444444444444,18,0.45,0,30,0.0,18,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,identity,stereoset,exploratory,28,28,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,28,,,,0.0019264076773024223,0.0019277327279902847,0.39285714285714285,0.39285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.2857142857142857,0.17857142857142858,0.10714285714285714,0.0,0.21428571428571427,0.6071428571428571,0.5714285714285714,0.03571428571428571,-0.17857142857142858,0.25,0.47058823529411764,17,0.3125,0,28,0.0,17,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,neutral,pooled,exploratory,42,42,42,0.20143926711309523,0.17917596726190477,0.5476190476190477,0.42857142857142855,0.023809523809523808,0.022263299851190476,-0.02321893601190476,0.06396484375,0.11052115195936973,-0.12204691724916776,0.2933970043211815,1,1,1,41,1.0,1.0,1.0,0.002836298363070091,0.002147329224134776,0.7307692307692307,0.7307692307692307,0.0,-0.038461538461538464,0.038461538461538464,0.7023809523809523,0.6904761904761905,0.011904761904761904,-0.03571428571428571,0.05952380952380952,0.9404761904761905,0.9166666666666666,0.023809523809523808,0.0,0.05952380952380952,0.7894736842105263,38,0.8157894736842105,5,42,0.11904761904761904,38,0.13157894736842105
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.25,cure_centred_svd,1,0.25,neutral,bbq,exploratory,42,42,42,0.20143926711309523,0.17917596726190477,0.5476190476190477,0.42857142857142855,0.023809523809523808,0.022263299851190476,-0.02321893601190476,0.06396484375,0.11052115195936973,-0.12204691724916776,0.2933970043211815,1,1,1,41,1.0,1.0,1.0,0.002836298363070091,0.002147329224134776,0.7307692307692307,0.7307692307692307,0.0,-0.038461538461538464,0.038461538461538464,0.7023809523809523,0.6904761904761905,0.011904761904761904,-0.03571428571428571,0.05952380952380952,0.9404761904761905,0.9166666666666666,0.023809523809523808,0.0,0.05952380952380952,0.7894736842105263,38,0.8157894736842105,5,42,0.11904761904761904,38,0.13157894736842105
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,demographic,pooled,exploratory,100,100,100,0.629144287109375,0.552303466796875,0.5,0.46,0.04,0.0768408203125,0.0010795288085937505,0.15689205932617187,0.12213544950959943,0.0016661072890971716,0.22642638756658492,27,7,3,73,0.25925925925925924,0.1,0.42110323886639645,0.003812897092148861,0.003709708272175577,0.6,0.6,0.0,-0.045,0.04,0.475,0.45,0.025,-0.02,0.065,0.8,0.795,0.005,-0.050124999999999996,0.065,0.6067415730337079,89,0.5585106382978723,13,100,0.13,71,0.18309859154929578
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,demographic,bbq,exploratory,42,42,42,0.3539922805059524,0.38386753627232145,0.35714285714285715,0.5714285714285714,0.07142857142857142,-0.029875255766369048,-0.08589978899274553,0.02598462785993303,-0.08439521823376794,-0.2849151568847706,0.07079652461044321,5,1,1,37,0.2,0.0,0.6666666666666666,0.003297891187044539,0.0028992311007903795,0.7142857142857143,0.7023809523809523,0.011904761904761904,0.0,0.03571428571428571,0.7261904761904762,0.7023809523809523,0.023809523809523808,0.0,0.05952380952380952,0.9523809523809523,0.9642857142857143,-0.011904761904761904,-0.03571428571428571,0.0,0.7926829268292683,41,0.75,6,42,0.14285714285714285,39,0.15384615384615385
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,demographic,crows_pairs,exploratory,30,30,30,0.9754720052083333,0.833544921875,0.6,0.4,0.0,0.14192708333333334,0.004384155273437501,0.2878849283854167,0.14549580364740622,0.0048483606799958725,0.27086066953472787,12,1,1,18,0.08333333333333333,0.0,0.2727272727272727,0.003954100157527784,0.004022811641552681,0.7,0.6666666666666666,0.03333333333333333,-0.06666666666666667,0.11666666666666667,0.2833333333333333,0.31666666666666665,-0.03333333333333333,-0.13374999999999998,0.06666666666666667,0.6333333333333333,0.7166666666666667,-0.08333333333333333,-0.23333333333333334,0.05,0.5,24,0.4642857142857143,4,30,0.13333333333333333,14,0.2857142857142857
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,demographic,stereoset,exploratory,28,28,28,0.670806884765625,0.5036272321428571,0.6071428571428571,0.35714285714285715,0.03571428571428571,0.16717965262276785,-0.020099966866629463,0.4224395751953123,0.24922173045552332,-0.034660476088792094,0.48219497465530686,10,5,1,18,0.5,0.18181818181818182,0.8237745098039202,0.00443411695118507,0.0045899561334921905,0.32142857142857145,0.375,-0.05357142857142857,-0.16071428571428573,0.03571428571428571,0.30357142857142855,0.21428571428571427,0.08928571428571429,0.0,0.17857142857142858,0.75,0.625,0.125,-0.0183035714285714,0.26785714285714285,0.3958333333333333,24,0.3333333333333333,3,28,0.10714285714285714,18,0.16666666666666666
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,identity,pooled,exploratory,100,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,100,,,,0.0037358133141251093,0.0037412957766307015,0.6082474226804123,0.6082474226804123,0.0,-0.061855670103092786,0.061855670103092786,0.48,0.44,0.04,-0.03,0.12,0.8,0.78,0.02,-0.06,0.11,0.6233766233766234,77,0.5866666666666667,0,100,0.0,80,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,identity,bbq,exploratory,42,42,42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,42,,,,0.0031388779004533768,0.0031423743247700133,0.6923076923076923,0.6923076923076923,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,-0.09523809523809523,0.09523809523809523,0.9761904761904762,1.0,-0.023809523809523808,-0.07142857142857142,0.0,0.7894736842105263,38,0.7692307692307693,0,42,0.0,41,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,identity,crows_pairs,exploratory,30,30,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,30,,,,0.0039909763040833395,0.00400043933419254,0.7,0.7,0.0,-0.13333333333333333,0.13333333333333333,0.26666666666666666,0.3,-0.03333333333333333,-0.2,0.13333333333333333,0.6333333333333333,0.6666666666666666,-0.03333333333333333,-0.2,0.13333333333333333,0.42105263157894735,19,0.45,0,30,0.0,19,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,identity,stereoset,exploratory,28,28,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0,0,0,28,,,,0.0043578275168203225,0.004362024142748335,0.39285714285714285,0.39285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.35714285714285715,0.17857142857142858,0.17857142857142858,0.03571428571428571,0.35714285714285715,0.7142857142857143,0.5714285714285714,0.14285714285714285,-0.10714285714285714,0.39285714285714285,0.5,20,0.3125,0,28,0.0,20,0.0
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,neutral,pooled,exploratory,42,42,42,0.20143926711309523,0.19817243303571427,0.47619047619047616,0.5,0.023809523809523808,0.0032668340773809525,-0.05247105189732143,0.05474533807663685,0.016217464073411403,-0.2847690058844098,0.24907673319819884,1,1,1,41,1.0,1.0,1.0,0.0088006895978467,0.005865769940506414,0.7307692307692307,0.7307692307692307,0.0,-0.038461538461538464,0.038461538461538464,0.7023809523809523,0.6904761904761905,0.011904761904761904,-0.047619047619047616,0.07142857142857142,0.9285714285714286,0.9166666666666666,0.011904761904761904,-0.023809523809523808,0.05952380952380952,0.8026315789473685,38,0.8157894736842105,4,42,0.09523809523809523,37,0.10810810810810811
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a0.5,cure_centred_svd,1,0.5,neutral,bbq,exploratory,42,42,42,0.20143926711309523,0.19817243303571427,0.47619047619047616,0.5,0.023809523809523808,0.0032668340773809525,-0.05247105189732143,0.05474533807663685,0.016217464073411403,-0.2847690058844098,0.24907673319819884,1,1,1,41,1.0,1.0,1.0,0.0088006895978467,0.005865769940506414,0.7307692307692307,0.7307692307692307,0.0,-0.038461538461538464,0.038461538461538464,0.7023809523809523,0.6904761904761905,0.011904761904761904,-0.047619047619047616,0.07142857142857142,0.9285714285714286,0.9166666666666666,0.011904761904761904,-0.023809523809523808,0.05952380952380952,0.8026315789473685,38,0.8157894736842105,4,42,0.09523809523809523,37,0.10810810810810811
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a1,cure_centred_svd,1,1.0,demographic,pooled,exploratory,100,100,100,0.629144287109375,0.5244314575195312,0.5,0.48,0.02,0.10471282958984375,0.025252899169921874,0.19769061279296873,0.1664369076145481,0.04194067821748837,0.2856227507447833,27,8,5,73,0.2962962962962963,0.13043478260869565,0.4782608695652174,0.010900638710727072,0.01073293694302059,0.615,0.6,0.015,-0.035,0.06012499999999932,0.475,0.45,0.025,-0.02,0.07,0.775,0.795,-0.02,-0.08,0.04,0.6208791208791209,91,0.5585106382978723,10,100,0.1,64,0.15625
qwen2.5-7b-instruct,dev,cure_centred_svd_r1_a1,cure_centred_svd,1,1.0,demographic,bbq,exploratory,42,42,42,0.3539922805059524,0.38307989211309523,0.40476190476190477,0.5476190476190477,0.047619047619047616,-0.029087611607142856,-0.08868873232886905,0.02802211216517855,-0.08217018621301198,-0.28475834121253923,0.07448593810025655,5,1,1,37,0.2,0.0,0.6666666666666666,0.009366313833501972,0.008312853782769396,0.7142857142857143,0.7023809523809523,0.011904761904761904,0.0,0.03571428571428571,0.7380952380952381,0.7023809523809523,0.03571428571428571,0.0,0.08333333333333333,0.9642857142857143,0.9642857142857143,0.0,-0.03571428571428571,0.03571428571428571,0.8048780487804879,41,0.75,7,42,0.16666666666666666,40,0.175
