model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,restore_mode,n_coords,removed_energy_A_mean,restored_energy_A_mean
qwen2.5-7b-instruct,dev,massive,unedited,60,60,117,0.6473353068033855,0.455979741414388,0.8602109400431314,0.0,0.0,0.0,0.5897435897435898,0.4700854700854701,0.703439013317191,-0.0,-0.0,-0.0,117,0.5794972727072888,-0.0,-0.0,-0.0,,,0.0,0.4136409799257914,none,0,,
qwen2.5-7b-instruct,dev,massive,erased,60,60,117,0.554608154296875,0.38472213745117184,0.7476352437337239,-0.09272715250651041,-0.20385070800781252,-0.0009520975748697946,0.5897435897435898,0.48236952675807165,0.6983403330386085,-0.0,-0.05982905982905983,0.0603448275862069,117,0.5880923258715206,-0.008595053164232001,-0.05983519954950803,0.04720039028586238,0.023727897764142313,0.011171743017198931,1.0,0.5075878977775574,none,0,,
qwen2.5-7b-instruct,dev,massive,restore_massive,60,60,117,0.5411865234375,0.3724589029947916,0.7332497151692708,-0.10614878336588542,-0.212216682434082,-0.019056116739908893,0.5726495726495726,0.46153846153846156,0.6814638643067843,0.017094017094017096,-0.042381935390409915,0.07758620689655173,117,0.5779498256900144,0.0015474470172742983,-0.04823622723898623,0.0580527084185776,0.016307335350534104,0.009839296822368799,1.0,0.627786393960317,massive,5,0.024448600202804687,0.008143538788664072
qwen2.5-7b-instruct,dev,massive,erase_massive_only,60,60,117,0.6255839029947917,0.46287938435872394,0.8020191446940104,-0.02175140380859375,-0.14158323923746743,0.09582218170166006,0.5897435897435898,0.4740491886409736,0.7009180790960448,-0.0,-0.05042016806722689,0.043859649122807015,117,0.5735154002135844,0.005981872493704224,-0.025860186903808792,0.04264136592724397,0.016946577670885764,0.0052043091382612365,1.0,0.6292800625165303,complement,5,0.08774767225657563,0.07078959199342504
qwen2.5-7b-instruct,dev,massive,restore_all,60,60,117,0.6502492268880208,0.4657008107503255,0.8575075785319008,0.0029139200846354167,-0.02867966969807943,0.03170377095540364,0.6068376068376068,0.48717391304347823,0.7179824561403507,-0.017094017094017096,-0.04310344827586207,-0.0,117,0.5802309713023744,-0.0007336985950858563,-0.0044470174969049765,0.0029954398098979494,1.616171560740592e-06,1.3954941874566636e-06,1.0,0.6222364981969197,all,3584,0.15983253496609065,0.15983253496609065
qwen2.5-7b-instruct,dev,massive,restore_random_1,60,60,117,0.5555206298828125,0.39155545552571613,0.741859664916992,-0.09181467692057292,-0.2025956598917643,-0.004621175130208396,0.5897435897435898,0.4745762711864407,0.7033898305084746,-0.0,-0.06837606837606838,0.06779661016949153,117,0.5893723425983319,-0.009875069891043153,-0.06111545562519435,0.046324957440674344,0.023760473014900686,0.011175809176236081,1.0,0.6273018876711528,random,5,0.023796981238564986,3.6410837048690376e-05
qwen2.5-7b-instruct,dev,massive,restore_equal_energy_1,60,60,117,0.5380655924479166,0.36972249348958336,0.7179768880208334,-0.10926971435546876,-0.202117067972819,-0.031190465291341157,0.5811965811965812,0.46949275362318843,0.6949152542372882,0.008547008547008548,-0.05042016806722689,0.06956521739130435,117,0.5823178452899177,-0.0028205725826291085,-0.05341567940758622,0.05503314872743881,0.031537869955671476,0.012533524816882385,1.0,0.6668971101442973,equal_energy,5,0.024183237027623438,0.008461013663034707
qwen2.5-7b-instruct,dev,massive,restore_random_2,60,60,117,0.5540018717447917,0.39280802408854165,0.7326497395833332,-0.09333343505859375,-0.19668519337972004,-0.004563738505045574,0.5897435897435898,0.4745762711864407,0.7033898305084746,-0.0,-0.06837606837606838,0.06779661016949153,117,0.5853647367339531,-0.005867464026664108,-0.05713663022848707,0.04971514135769939,0.02376193748651841,0.011176808606783032,1.0,0.626102868715922,random,5,0.023767017628385557,6.921988832789306e-06
qwen2.5-7b-instruct,dev,massive,restore_equal_energy_2,60,60,117,0.5352152506510417,0.37834213256835936,0.709988301595052,-0.11212005615234374,-0.20754492441813152,-0.033837890625,0.5897435897435898,0.4745762711864407,0.7033898305084746,-0.0,-0.06837606837606838,0.06779661016949153,117,0.5895427495441584,-0.010045476836869781,-0.05875395529539468,0.04514060712292537,0.03188801947003235,0.012558493518369107,1.0,0.6653006831804912,equal_energy,5,0.023923203532844564,0.008325408303089333
qwen2.5-7b-instruct,dev,massive,restore_random_3,60,60,117,0.559857177734375,0.3969737752278646,0.741474609375,-0.08747812906901041,-0.18781492869059246,-0.0027759297688802285,0.5982905982905983,0.4830508474576271,0.7105559506875294,-0.008547008547008548,-0.0769396551724137,0.05982905982905983,117,0.5860116833642275,-0.006514410656938673,-0.05760745386778258,0.049897390596500876,0.0237238374320829,0.0111607151142897,1.0,0.6279912233352661,random,5,0.023737276111610448,7.149633543672838e-06
